id	targetkeyword	targetrank	targetrankred	targetkeyworddetail	targetrankdetail	perpetkeyword	perpetrank	perpetrankred	perpetkeyworddetail	perpetrankdetail	gendersclean	itypeclean	itypewide	institutionlocation	institutionclean	cleandiscipline	reported	reportedwide	someconsequence	institutionperpetrator	institutiontarget	city	state	country	zipcode_us	zipcode	zipcode_other
1270	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			History	Yes	Yes	None								
1271	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Music	Unknown	Unknown	Unknown								
1272	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	Other University	Research University			Music	Unknown	Unknown	Unknown								
1273	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	Other University	Research University			Engineering	Yes	Yes	None								
1274	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	Russell Group	Research University	Sheffield, England	University of Sheffield	East Asian Studies	Unknown	Unknown	None			Sheffield	England	UK		S10	S10
1275	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	R1	Research University			English	Unknown	Unknown	None								
1276	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Los Angeles, California	University of Southern California	Philosophy	No	No	None			Los Angeles	California	US	90089	90089	
1277	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	Other University	Research University			Political Science	Yes	Yes	None								
1278	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Associate Professor	24.5	Female	R1	Research University			Music	Yes	Yes	None								
1279	Faculty	7	16	Lecturer	16.5	Undergraduate Student	3	2	Undergraduate Student	2	Male	R1	Research University			Rhetoric and Composition	Unknown	Unknown	None								
1280	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Staff	6	14.5	Staff	14.5	Male	Conference	Conference & Field Work			Biology	Unknown	Unknown	Unknown								
1281	Faculty	7	16	Post-Doctoral	13.5	Undergraduate Student	3	2	Undergraduate - Year 4	5.5	Male	Conference	Conference & Field Work			English 	No	No	None								
1282	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	Conference	Conference & Field Work			Political Science	No	No	None								
1283	Graduate Student	4	6	Graduate Student	6	Staff	6	14.5	Staff	14.5	Male	Other University	Research University			[Refuse to Answer]	Yes	Yes	None								
1284	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Associate Professor	24.5	Male	Other University	Research University	Addis Ababa, Ethiopia	Addis Ababa University	History	No	No	None			Addis Ababa	Addis Ababa	Ethiopia			
1285	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Male	University of California	Research University	San Francisco, California	University of California - San Francisco	Neuroscience 	Unknown	Unknown	None			San Francisco	California	US	94131	94131	
1286	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Full Professor	25.5	Male	Unknown	Research University	(UK)		History	No	Private	None								
1287	Faculty	7	16	Researcher	14	Staff	6	14.5	Staff	14.5	Male	Unknown	Research University	(UK)		History	Unknown	Unknown	None								
1288	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	R1	Research University	Buffalo, New York	University at Buffalo	Media 	Yes	Yes	Yes			Buffalo	New York	US	14228	14228	
1289	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University				No	No	None								
1290	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Communication 	Yes	Yes	Unknown								
1291	Staff	6	14.5	Staff	14.5	Administration	10	26.5	Administration	26.5	Male	Big Ten	Research University	Columbus, Ohio	Ohio State University	Nursing	Yes	Yes	None			Columbus	Ohio	US	43202	43202	
1292	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Post-Doctoral	13.5	Male	Other University	Research University			Humanities 	No	No	None								
1293	Graduate Student	4	6	Graduate Student	6	Undergraduate Student	3	2	Undergraduate Student	2	Male	R1	Research University			Psychology	Yes	Yes	None								
1294	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Anthropology 	Yes	Yes	Yes								
1295	Undergraduate Student	3	2	Undergraduate Student	2	Undergraduate Student	3	2	Undergraduate Student	2	Male	R1	Research University	State College, Pennsylvania	Pennsylvania State University	Geography	No	No	None			State College	Pennsylvania	US	16801	16801	
1296	Faculty	7	16	Lecturer	16.5	Administration	10	26.5	Administration	26.5	Male	R2	Research University			Sociology	No	No	None								
1297	Undergraduate Student	3	2	Undergraduate Student	2	Undergraduate Student	3	2	Undergraduate Student	2	Male	R1	Research University	State College, Pennsylvania	Pennsylvania State University	Geography	Unknown	Unknown	None			State College	Pennsylvania	US	16801	16801	
1298	Undergraduate Student	3	2	Undergraduate - Year 3	4.5	Administration	10	26.5	Administration	26.5	Male	Small Liberal Arts College	Other College	(US)		Theatre	No	No	None					US			
1299	Undergraduate Student	3	2	Undergraduate Student	2	Undergraduate Student	3	2	Undergraduate Student	2	Male	R1	Research University				Unknown	Unknown	None								
1300	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Female	Other University	Research University			Science	No	Private	None								
1301	Tenured Professor	9	24	Full Professor	25.5	Administration	10	26.5	Administration	26.5	Male	Other University	Research University			Religion	No	Private	None								
1302	Faculty	7	16	Post-Doctoral	13.5	Tenured Professor	9	24	Tenured Professor	24	Male	Unknown	Research University			Religious Studies	Unknown	Unknown	Unknown								
1303	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Multiple	R1	Research University	Austin, Texas	University of Texas - Austin	Sociology	Yes	Yes	None			Austin	Texas	US	78712	78712	
1304	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Lecturer	16.5	Male	R3	Research University	San Francisco, California	San Francisco State University	Biology	No	Private	None			San Francisco	California	US	94132	94132	
1305	Faculty	7	16	Lecturer	16.5	Student	2	1.5	Student	1.5	Male	R1	Research University			Social Work	Unknown	Unknown	Unknown								
1306	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	Conference	Conference & Field Work			Psychology	Unknown	Unknown	None								
1307	Unknown	0	0	Unknown	0	Unknown	0	0	Unknown	0	Male	Junior High	Other	Halifax, Nova Scotia	Cunard Junior High School	K-12	No	No	None			Halifax	Nova Scotia	Canada		B3P	B3P
1308	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University	(Germany)		Philosophy	Unknown	Unknown	None					Germany			
1309	Administration	10	26.5	Administration	26.5	Administration	10	26.5	Administration	26.5	Male	Regional Teaching College	Other College			Enrollment, Student Services	Yes	Yes	None								
1310	Staff	6	14.5	Staff	14.5	Graduate Student	4	6	Graduate Student	6	Male	Regional Teaching College	Other College				Yes	Yes	None								
1311	Undergraduate Student	3	2	Undergraduate Student	2	Tenured Professor	9	24	Tenured Professor	24	Unknown	Small Liberal Arts College	Other College	(Canada)		Science	No	No	None					Canada			
1312	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	Small Liberal Arts College	Other College			Literature	Unknown	Unknown	None								
1313	Staff	6	14.5	Professional	17	Administration	10	26.5	Administration	26.5	Male	R2	Research University	DeKalb, Illinois	Northern Illinois University	Communication 	Unknown	Unknown	None			DeKalb	Illinois	US	60115	60115	
1314	Unknown	0	0	Unknown	0	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Female	Other University	Research University			Law	Unknown	Unknown	Unknown								
1315	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University	(Colorado)		Creative Writing 	Yes	Yes	None				Colorado	US			
1316	Undergraduate Student	3	2	Undergraduate - Year 2	3.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Unknown	Research University			Social Sciences	No	Private	Yes								
1317	Undergraduate Student	3	2	Undergraduate Student	2	Tenured Professor	9	24	Tenured Professor	24	Male	Small Liberal Arts College	Other College			Creative Writing 	Yes	Yes	Yes								
1318	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Full Professor	25.5	Male	Conference	Conference & Field Work		Academy of Management National Conference	Psychology	No	No	None								
1319	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	Ivy League	Research University	Ithaca, New York	Cornell University	Art	Yes	Yes	None			Ithaca	New York	US	14850	14850	
1320	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	(US)		Business 	No	No	None					US			
1321	Unknown	0	0	Unknown	0	Tenured Professor	9	24	Associate Professor	24.5	Male	Other University	Research University	Madison, New Jersey	Drew University	History	Yes	Yes	None			Madison	New Jersey	US	07940	07940	
1322	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R2	Research University			Liberal Arts	Yes	Yes	None								
1323	Faculty	7	16	Post-Doctoral	13.5	Tenured Professor	9	24	Associate Professor	24.5	Male	R1	Research University			[Redacted]	Unknown	Unknown	Unknown								
1324	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Ivy League	Research University	Providence, Rhode Island	Brown University	English	Unknown	Unknown	Unknown			Providence	Rhode Island	US	02912	02912	
1325	Staff	6	14.5	Staff	14.5	Faculty	7	16	Researcher	14	Male	R2	Research University			Psychology	Unknown	Unknown	Unknown								
1326	Graduate Student	4	6	Graduate Student	6	Other	1	0.5	Other	0.5	Male	Other University	Research University			Political Science	No	No	None								
1327	Undergraduate Student	3	2	Undergraduate - Year 1	2.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College	Albany, New York	College of Saint Rose	Women's & Gender Studies	Unknown	Unknown	Unknown			Albany	New York	US	12203	12203	
1328	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	Small Liberal Arts College	Other College	San Antonio, Texas	Trinity University	Biology	Yes	Yes	None			San Antonio	Texas	US	78212	78212	
1329	Faculty	7	16	Post-Doctoral	13.5	Tenured Professor	9	24	Full Professor	25.5	Male	Conference	Conference & Field Work			Psychology	Unknown	Unknown	Unknown								
1330	Undergraduate Student	3	2	Undergraduate Student	2	Administration	10	26.5	Administration	26.5	Male	Small Liberal Arts College	Other College	Greeneville, Tennessee	Tusculum College	English	No	Private	None			Greeneville	Tennessee	US	37745	37745	
1331	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College	Oberlin, Ohio	Oberlin College and Conservatory		Unknown	Unknown	Unknown			Oberlin	Ohio	US	44074	44074	
1332	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Staff	6	14.5	Staff	14.5	Male	Ivy League	Research University	Providence, Rhode Island	Brown University	Literature	Yes	Yes	Unknown			Providence	Rhode Island	US	02912	02912	
1333	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Psychology	Unknown	Unknown	Unknown								
1334	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			History	No	No	None								
1335	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	Conference	Conference & Field Work			Medieval Studies	Unknown	Unknown	Unknown								
1336	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	Big Ten	Research University	Chicago, Illinois	University of Illinois - Chicago	Library	No	No	None			Chicago	Illinois	US	60607	60607	
1337	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	R1	Research University	Atlanta, Georgia	Emory University	Religious Studies	No	Private	None			Atlanta	Georgia	US	30307	30307	
1338	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University	(US)		Creative Writing 	Unknown	Unknown	None					US			
1339	Staff	6	14.5	Staff	14.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			N/A	Yes	Yes	None								
1340	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	R2	Research University			English	Yes	Yes	Unknown								
1341	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Graduate Student	4	6	Graduate Student	6	Male	Big Ten	Research University	East Lansing, Michigan	Michigan State University	English	Yes	Yes	Yes			East Lansing	Michigan	US	48910	48910	
1342	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Neuroscience	No	No	None								
1343	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Staff	6	14.5	Staff	14.5	Female	R1	Research University	Chicago, Illinois		Astronomy	Unknown	Unknown	Unknown			Chicago	Illinois	US			
1344	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	Other University	Research University				Unknown	Unknown	None								
1345	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Buffalo, New York	University at Buffalo	Engineering	Yes	Yes	None			Buffalo	New York	US	14228	14228	
1346	Faculty	7	16	Lecturer	16.5	Staff	6	14.5	Staff	14.5	Male	Regional Teaching College	Other College	Danbury, Connecticut	Western Connecticut State University	Creative Writing 	Unknown	Unknown	None			Danbury	Connecticut	US	06810	06810	
1347	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Full Professor	25.5	Male	Ivy League	Research University	Philadelphia, Pennsylvania	University of Pennsylvania	Art History 	Unknown	Unknown	Unknown			Philadelphia	Pennsylvania	US	19104	19104	
1348	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Multiple	U15	Research University	Edmonton, Alberta	University of Alberta	English, Film Studies	Yes	Yes	None			Edmonton	Alberta	Canada		T6G	T6G
1349	Graduate Student	4	6	Master Student	6.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University	Syracuse, New York	Syracuse University	Maxwell School 	Unknown	Private	None			Syracuse	New York	US	13210	13210	
1350	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Full Professor	25.5	Male	University of California	Research University	Berkeley, California	University of California - Berkeley	History	No	No	None			Berkeley	California	US	94709	94709	
1351	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	Conference	Conference & Field Work			History	Unknown	Unknown	Unknown								
1352	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University				Unknown	Unknown	Unknown								
1353	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University			Psychology, Linguistics	Yes	Yes	None								
1354	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			Philosophy	No	No	None								
1355	Faculty	7	16	Post-Doctoral	13.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Conference	Conference & Field Work			Philosophy	Unknown	Unknown	Unknown								
1356	Student	2	1.5	Student	1.5	Tenured Professor	9	24	Tenured Professor	24	Male	R3	Research University	Garden City, New York	Adelphi University	Psychology	Yes	Yes	None			Garden City	New York	US	11530	11530	
1357	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Student	2	1.5	Student	1.5	Male	Regional Teaching College	Other College			History	Yes	Yes	None								
1358	Unknown	0	0	Unknown	0	Unknown	0	0	Unknown	0	Male	University of California	Research University	Berkeley, California	University of California - Berkeley	Science	Unknown	Unknown	None			Berkeley	California	US	94709	94709	
1359	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	Other University	Research University			[Refuse to Answer]	No	Private	None	Too scared to say	Too scared to say						
1360	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Full Professor	25.5	Female	R1	Research University			Anthropology	Yes	Yes	None								
1361	Tenured Professor	9	24	Associate Professor	24.5	Administration	10	26.5	Administration	26.5	Male	Conference	Conference & Field Work	(Canada)		History	No	No	None	This was in Canada, so the university categories don't quite line up.	This was in Canada, so the university categories don't quite line up.			Canada			
1362	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	R1	Research University	New York, New York	City University of New York - Graduate Center	English	No	Private	None			New York	New York	US	10016	10016	
1363	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University				Yes	Yes	Yes								
1364	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University				Unknown	Unknown	Unknown								
1365	Tenured Professor	9	24	Full Professor	25.5	Other	1	0.5	Donor	27	Male	Small Liberal Arts College	Other College			[Refuse to Answer]	No	No	None								
1366	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	Other University	Research University	(US)		Asian Studies	Unknown	Private	None					US			
1367	Staff	6	14.5	Staff	14.5	Tenured Professor	9	24	Tenured Professor	24	Female	Small Liberal Arts College	Other College				Yes	Yes	None								
1368	Graduate Student	4	6	Master Student	6.5	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University			English	No	No	None								
1369	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Unknown	Research University			Education	No	No	None								
1370	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Multiple	R1	Research University			Religious Studies	No	Private	None								
1371	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University				Unknown	Unknown	None								
1372	Faculty	7	16	Lecturer	16.5	Administration	10	26.5	Administration	26.5	Multiple	Other University	Research University				Yes	Yes	Yes								
1373	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Faculty	7	16	Faculty	16	Male	R1	Research University			English	No	No	None								
1374	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Staff	6	14.5	Staff	14.5	Male	Other University	Research University	Fontainebleau, France	Institut Européen d'Administration des Affaires	Management	Yes	Yes	Yes			Fontainebleau	Île-de-France	France		77305	77305
1375	Faculty	7	16	Lecturer	16.5	Administration	10	26.5	Administration	26.5	Female	R2	Research University				Unknown	Unknown	Unknown								
1376	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	Conference	Conference & Field Work	Los Angeles, California	University of Southern California	Film Studies	No	No	None			Los Angeles	California	US	90089	90089	
1377	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Male	Ivy League	Research University	Hanover, New Hampshire	Dartmouth College	English	Unknown	Unknown	None			Hanover	New Hampshire	US	03755	03755	
1378	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Associate Professor	24.5	Male	R1	Research University			Communication 	No	No	None								
1379	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	R2	Research University			Biology, Physics	Yes	Yes	None								
1380	Undergraduate Student	3	2	Undergraduate - Year 4	5.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University	Austin, Texas	University of Texas - Austin	Slavic	No	No	None			Austin	Texas	US	78712	78712	
1381	Undergraduate Student	3	2	Undergraduate - Year 2	3.5	Graduate Student	4	6	Graduate Student	6	Male	Field Work	Conference & Field Work	Salt Lake City, Utah	University of Utah	Psychology	No	No	None	University of Utah	Westminster College	Salt Lake City	Utah	US	84112	84112	
1382	Faculty	7	16	Lecturer	16.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University				No	No	None								
1383	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Big Ten	Research University	Ann Arbor, Michigan	University of Michigan	N/A	No	No	None			Ann Arbor	Michigan	US	48109	48109	
1384	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	R1	Research University				Unknown	Unknown	None								
1385	Faculty	7	16	Lecturer	16.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University	Nashville, Tennessee	Vanderbilt University	Writing	Yes	Yes	None			Nashville	Tennessee	US	37212	37212	
1386	Undergraduate Student	3	2	Undergraduate Student	2	Tenured Professor	9	24	Tenured Professor	24	Male	Regional Teaching College	Other College			English	Yes	Yes	None								
1387	Faculty	7	16	Lecturer	16.5	Undergraduate Student	3	2	Undergraduate Student	2	Male	R1	Research University			History	Unknown	Unknown	Unknown								
1388	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Psychology	No	No	None								
1389	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	Ivy League	Research University	Providence, Rhode Island	Brown University	Physics	Unknown	Unknown	None			Providence	Rhode Island	US	02912	02912	
1390	Undergraduate Student	3	2	Undergraduate Student	2	Other	1	0.5	Donor	27	Male	Small Liberal Arts College	Other College				Unknown	Unknown	Unknown								
1391	Staff	6	14.5	Staff	14.5	Faculty	7	16	Faculty	16	Male	Other University	Research University			Law	Unknown	Unknown	None								
1392	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			Linguistics	Unknown	Unknown	Unknown								
1393	Graduate Student	4	6	Master Student	6.5	Tenured Professor	9	24	Tenured Professor	24	Male	R2	Research University	Williamsburg, Virginia	College of William and Mary	History 	No	Private	None			Williamsburg	Virginia	US	23185	23185	
1394	Other	1	0.5	K-12	1	Tenured Professor	9	24	Full Professor	25.5	Male	Community College	Other College	Dover, Delaware	Delaware Technical Community College	Literature	Unknown	Unknown	None			Dover	Delaware	US	19904	19904	
1395	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	Small Liberal Arts College	Other College				No	No	None								
1396	Faculty	7	16	Lecturer	16.5	Administration	10	26.5	Administration	26.5	Male	Other University	Research University			Theology	No	No	None								
1397	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Lecturer	16.5	Male	R1	Research University	Richmond, Virginia	Virginia Commonwealth University	English	Unknown	Unknown	None			Richmond	Virginia	US	23284	23284	
1398	Faculty	7	16	Faculty	16	Administration	10	26.5	Administration	26.5	Male	Small Liberal Arts College	Other College	Chicago, Illinois	Columbia College Chicago	English	Unknown	Unknown	None			Chicago	Illinois	US	60605	60605	
1399	Graduate Student	4	6	Graduate Student	6	Staff	6	14.5	Staff	14.5	Female	Other University	Research University			Anthropology	Unknown	Unknown	Unknown								
1400	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	R1	Research University	Durham, North Carolina	Duke University	Music	Unknown	Unknown	Unknown			Durham	North Carolina	US	27705	27705	
1401	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Russell Group	Research University	Durham, England	Durham University	Music	Unknown	Unknown	None			Durham	England	UK		DH1	DH1
1402	Faculty	7	16	Faculty	16	Faculty	7	16	Faculty	16	Female	Other University	Research University				Yes	Yes	None								
1403	Unknown	0	0	Unknown	0	Faculty	7	16	Faculty	16	Male	R1	Research University	State College, Pennsylvania	Pennsylvania State University	Humanities 	Yes	Yes	None			State College	Pennsylvania	US	16801	16801	
1404	Other	1	0.5	Other	0.5	Unknown	0	0	Unknown	0	Male	R1	Research University			Business 	Unknown	Unknown	None								
1405	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University	Stanford, California	Stanford University	Sociology	No	No	None			Stanford	California	US	94305	94305	
1406	Graduate Student	4	6	Master Student	6.5	Tenured Professor	9	24	Associate Professor	24.5	Male	Conference	Conference & Field Work				No	No	None								
1407	Student	2	1.5	Student	1.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other	Other	San Francisco, California	San Francisco Conservatory of Music	Music	No	No	None			San Francisco	California	US	94102	94102	
1408	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Art	No	No	None								
1409	Graduate Student	4	6	Master Student	6.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Creative Writing 	Unknown	Unknown	None								
1410	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	Conference	Conference & Field Work			History	No	No	None								
1411	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Social Sciences	Unknown	Unknown	None								
1412	Faculty	7	16	Faculty	16	Administration	10	26.5	Administration	26.5	Male	Conference	Conference & Field Work			Creative Writing 	No	No	None								
1413	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	New York, New York	New York University	Art History	Unknown	Unknown	None			New York	New York	US	10012	10012	
1414	Undergraduate Student	3	2	Undergraduate Student	2	Tenured Professor	9	24	Tenured Professor	24	Male	Big Ten	Research University	Bloomington, Indiana	Indiana University - Bloomington		No	No	None			Bloomington	Indiana	US	47406	47406	
1415	Undergraduate Student	3	2	Undergraduate - Year 2	3.5	Staff	6	14.5	Staff	14.5	Male	Community College	Other College	Santa Cruz, California	Cabrillo Community College	Music	Yes	Yes	None			Santa Cruz	California	US	95003	95003	
1416	Faculty	7	16	Lecturer	16.5	Administration	10	26.5	Administration	26.5	Female	University of California	Research University	Riverside, California	University of California - Riverside	Humanities 	No	No	None			Riverside	California	US	92507	92507	
1417	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Conference	Conference & Field Work			Psychology, Marketing	No	No	None								
1418	Tenured Professor	9	24	Tenured Professor	24	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			History	Unknown	Private	None								
1419	Unknown	0	0	Unknown	0	Administration	10	26.5	Administration	26.5	Female	R1	Research University			English	No	No	None								
